Code,Name,Proportion of neighbourhoods in 20% most clinically vulnerable,Extent of population living in highly clinically vulnerable areas,Population-weighted clinical vulnerability score,Proportion of neighbourhoods in 20% most health/wellbeing vulnerable,Extent of population living in highly health/wellbeing vulnerable areas,Population-weighted health/wellbeing vulnerability score,Proportion of neighbourhoods in 20% most economically vulnerable,Extent of population living in highly economically vulnerable areas,Population-weighted economic vulnerability score,Proportion of neighbourhoods in 20% most socially vulnerable,Extent of population living in highly socially vulnerable areas,People receiving Section 95 support,Social Vulnerability score,Social Vulnerability rank,Social Vulnerability decile,Vulnerability score,Vulnerability rank,Vulnerability decile,Country,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Vulnerability quintile,TacticalCell
E07000135,Oadby and Wigston,0.16666666666666666,0.11098007128730406,0.15325060090761347,0.6666666666666666,0.5039690461079789,0.6944429288920966,0.16666666666666666,0.10115652765888358,-0.3967635705159126,0.16666666666666666,0.14855686564630868,55,0.8566302329886513,256,9,126.22622009051614,251,8,England,3,5,2,4,4,Central
E07000144,Broadland,0.16666666666666666,0.2052378714505475,0.44106005958706296,0.6111111111111112,0.6128026242613268,0.7432421974311162,0,0,-0.5138794389309512,0,0,5,-0.4500293765069004,103,4,109.26287937811803,224,8,England,4,5,2,2,4,Central
E07000146,King's Lynn and West Norfolk,0.5789473684210527,0.5978960161336343,0.7899990672718351,0.2631578947368421,0.2950861337625836,0.32402338380933204,0.05263157894736842,0.07947349006330237,0.13936824366028228,0.10526315789473684,0.10771766417314602,NA,-0.14749118291575175,141,5,112.44957013700085,231,8,England,5,4,3,3,4,Central
E07000170,Ashfield,0.1875,0.16179869438284936,0.48688142978539073,0.125,0.08991909329520764,0.13917167026061247,0.375,0.3138391816774833,0.5870692868105405,0.1875,0.17619661910476103,3,0.5209807984286918,226,8,112.96897689887567,233,8,England,4,3,5,4,4,Central
E07000171,Bassetlaw,0.35714285714285715,0.383068266228697,0.6596482238185818,0.2857142857142857,0.3420261844796776,0.41613013207744876,0.2857142857142857,0.3136119833815402,0.5175802809627909,0,0,1,-0.6137860781844588,89,3,116.39736488983738,239,8,England,5,4,4,2,4,Central
E07000200,Babergh,0.45454545454545453,0.3868039852149493,0.6343215911965681,0.6363636363636364,0.648977294386391,0.7334801295503499,0,0,-0.44452120143244483,0.09090909090909091,0.13327042373715822,NA,-0.23471902967914687,131,5,121.60099994818543,245,8,England,4,5,2,3,4,Central
E06000013,North Lincolnshire,0.17391304347826086,0.1920516539451882,0.49297617328206833,0.043478260869565216,0.0844000709893684,-0.05696210098890449,0.391304347826087,0.33886895882769624,0.644546650676314,0,0.03483492676926465,1,-0.2646478446711021,125,4,93.48082237545982,191,7,England,4,3,5,3,4,Central
E06000016,Leicester,0,0,-0.8376189709012395,0.1891891891891892,0.14993463613597105,-0.3787505484109013,0.24324324324324326,0.25062080483711857,0.25796675790999823,0.5405405405405406,0.4793088662232917,769,1.456872981820728,303,10,101.32188982763532,210,7,England,1,2,4,5,4,Central
E06000051,Shropshire,0.4358974358974359,0.40664704695288867,0.6628899630008983,0.4358974358974359,0.4189082423832488,0.5574083581854068,0.02564102564102564,0.031091445384100382,-0.17884911814109697,0.05128205128205128,0.08539164491719753,NA,-0.45311582898154285,102,4,105.72644646857519,215,7,England,5,5,3,2,4,Central
E07000036,Erewash,0.4666666666666667,0.32943763643240925,0.5855241713255424,0.26666666666666666,0.2608744662331211,0.3273039898886078,0.2,0.18637284613386437,0.23255711807628857,0.13333333333333333,0.2101770260355191,1,0.3027017847881027,199,7,107.14492376876977,220,7,England,4,4,4,4,4,Central
E07000139,North Kesteven,0.6923076923076923,0.583579251400476,0.7920276881079169,0.15384615384615385,0.15896513387620445,0.3460918868501088,0,0.01737028154729627,-0.23918207382737994,0,0,NA,-0.7966831731504059,70,3,93.29256250309616,190,7,England,5,4,3,2,4,Central
E07000143,Breckland,0.5294117647058824,0.48618729391357296,0.6688654235314114,0.4117647058823529,0.3702201264632632,0.4532376787750707,0,0.03546003004626308,-0.0719104913806386,0,0,NA,-0.6602923258204134,84,3,97.6258099775323,203,7,England,5,4,3,2,4,Central
E07000172,Broxtowe,0.21428571428571427,0.1982692103962144,0.30408035073633066,0.35714285714285715,0.3766556792964118,0.42791485567035076,0.07142857142857142,0.05529168726604986,-0.15966964999864505,0.07142857142857142,0.11790966132755433,38,0.7502358183453549,250,8,104.93554011096194,213,7,England,4,4,3,4,4,Central
E07000173,Gedling,0.06666666666666667,0.059528743921849335,0.1788349981393884,0.2,0.288200456313725,0.4659395482304581,0.13333333333333333,0.06957915202146264,-0.1393121400691375,0.13333333333333333,0.1089052670900929,4,0.4337136897780277,215,7,96.3986311125551,199,7,England,3,4,3,4,4,Central
E07000174,Mansfield,0.07692307692307693,0.09064197460419085,0.253984860882587,0.15384615384615385,0.15976658853885845,0.2503716205891513,0.6153846153846154,0.5944849536673245,0.7170195930657732,0,0.05671812914928051,NA,-0.06563791606050545,154,5,105.93350011986172,216,7,England,4,4,5,3,4,Central
E07000198,Staffordshire Moorlands,0.6153846153846154,0.6125613318335015,0.8202935353838645,0.3076923076923077,0.31787621359872437,0.29536443314474153,0,0.058762355292175675,-0.26583002357537916,0.07692307692307693,0.07830523288311636,1,0.08994567374090093,175,6,106.54853497071115,217,7,England,5,4,2,3,4,Central
E07000202,Ipswich,0,0,-0.19981230395296734,0.25,0.2024612836514985,0.11808105901785469,0.125,0.20545683530875872,0.27852337877225186,0.375,0.3657717744540218,62,1.042120825622419,270,9,98.16817557343518,205,7,England,3,3,4,5,4,Central
E08000026,Coventry,0,0,-0.6016340362251666,0.047619047619047616,0.05627407566314124,-0.44567996647619457,0.21428571428571427,0.20020103559879834,0.07675813065570421,0.8095238095238095,0.8412296892701374,513,1.5604994015194524,310,10,106.80472974882679,219,7,England,2,2,3,5,4,Central
