Code,Name,Proportion of neighbourhoods in 20% most clinically vulnerable,Extent of population living in highly clinically vulnerable areas,Population-weighted clinical vulnerability score,Proportion of neighbourhoods in 20% most health/wellbeing vulnerable,Extent of population living in highly health/wellbeing vulnerable areas,Population-weighted health/wellbeing vulnerability score,Proportion of neighbourhoods in 20% most economically vulnerable,Extent of population living in highly economically vulnerable areas,Population-weighted economic vulnerability score,Proportion of neighbourhoods in 20% most socially vulnerable,Extent of population living in highly socially vulnerable areas,People receiving Section 95 support,Social Vulnerability score,Social Vulnerability rank,Social Vulnerability decile,Vulnerability score,Vulnerability rank,Vulnerability decile,Country,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Vulnerability quintile,TacticalCell
E08000013,St. Helens,0.9130434782608695,0.7658174192931689,0.9094601155411411,0.34782608695652173,0.275809143768173,0.3739662694095806,0.6521739130434783,0.6486383969743909,0.9583578131762431,0.08695652173913043,0.07309749889723001,185,0.534844766527104,233,8,201.54098211115914,310,10,England,5,4,5,4,5,North
E08000018,Rotherham,0.36363636363636365,0.3681590292138263,0.568534978228337,0.3939393939393939,0.3845044861057889,0.3416285261059451,0.5757575757575758,0.539894604005887,0.8132281124134931,0.09090909090909091,0.09061743785581661,418,0.8485749067743062,255,9,156.31526286903605,287,10,England,4,4,5,4,5,North
E08000023,South Tyneside,1,0.796295999873907,0.8861748036657892,0.21739130434782608,0.2184240648538459,0.3590325082804362,0.7391304347826086,0.6680921599910333,0.8733627462884941,0.043478260869565216,0.06069522790438646,241,0.6439700954436625,241,8,188.39523380480878,306,10,England,5,4,5,4,5,North
E08000024,Sunderland,0.5833333333333334,0.5315697269719174,0.7265197612925153,0.2777777777777778,0.24680555948170743,0.25419599285375427,0.6111111111111112,0.6316878846456304,0.9213138417363963,0.027777777777777776,0.038126700010605356,372,0.44214636635334714,216,7,165.0232686337699,296,10,England,5,4,5,4,5,North
E08000037,Gateshead,0.6296296296296297,0.6086989805730871,0.7804897967857533,0.37037037037037035,0.33590215539243157,0.44797374231126685,0.48148148148148145,0.49157590135490425,0.7343025878079523,0,0.006261649962106756,705,0.6549330144239803,242,8,168.33616098344154,300,10,England,5,4,5,4,5,North
E06000003,Redcar and Cleveland,0.3684210526315789,0.44982670822230314,0.7123881615248865,0.3684210526315789,0.3548637379592723,0.36433493126404237,0.631578947368421,0.5813675825999117,0.7384288144707691,0,0,113,0.02746837149765724,164,6,139.25408159087803,265,9,England,5,4,5,3,5,North
E06000005,Darlington,0.6666666666666666,0.5952540901265042,0.7931866067516787,0.4,0.39753881212236153,0.48813454193841116,0.4666666666666667,0.43580555958896733,0.3723571146615259,0,0,86,-0.3435040889060406,116,4,133.06955314873804,258,9,England,5,4,4,2,5,North
E06000010,"Kingston upon Hull, City of",0,9.664486178518662e-4,0.0034675776894029617,0.15625,0.13218315696586705,-0.11191040079635996,0.5,0.5182521497782323,0.7051362332718736,0.78125,0.7225713235687581,497,1.5113974749997179,307,10,143.68428450080472,272,9,England,3,3,5,5,5,North
E06000047,County Durham,0.7878787878787878,0.7364183350611527,0.8148839969788515,0.3181818181818182,0.3119990072528469,0.3781350452905993,0.6818181818181818,0.606321891772583,0.7819125573670834,0,0,1,-0.8265421892316607,68,3,145.40993455279934,276,9,England,5,4,5,2,5,North
E07000026,Allerdale,0.9166666666666666,0.8795362471822917,0.9960641341614604,0.25,0.33165414921535896,0.41615256652689514,0.4166666666666667,0.43133456160318356,0.550404370745934,0,0,NA,-0.9768035483079436,48,2,149.4678456862177,281,9,England,5,4,4,1,5,North
E07000027,Barrow-in-Furness,0.2,0.4100492472971605,0.6976071857021101,0.5,0.40737647214689837,0.5767140649651817,0.5,0.4223558975637405,0.6364347009255079,0.2,0.13812349923918332,NA,-0.9768013670919843,49,2,136.9465182806827,263,9,England,5,5,5,1,5,North
